gene	parentterm	Sider_MI	Sider_drug	OT_MI	OT_maxPhaseForIndication	OT_drug	phenotype_omim	phenotype_coloc	phenotype_eqtl_Pheno	phenotype_coloc_tissue	phenotype_Pheno_hgmd	phenotype_Pheno_genebass	Opentargets_Pheno_eva	Opentargets_OTG_lessL2G	genescores_Tissuespecific_PT_V80.01	phenotype_eqtl_tissue	genescores_oe_dichotomized	genescoresum	Number_predictors	order	percent	category	parentterm_description	Clinvar_phenotype_description	Colocpheno_phenotype_description	Coloctissue_phenotype_description	Eqtlpheno_phenotype_description	Eqtltissue_phenotype_description	Genebass_phenotype_description	Hgmd_phenotype_description	Omim_phenotype_description	OTG_less_l2g_phenotype_description	Druggable_gene	OR_cutoff	therapeutic
PELO	411	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	0	0	1.61956062691077	3	6837638	99.7436694134826	circulatory system	Ischemic Heart Disease	0	0	AdiposeSubcutaneous;ArteryAorta	0	0	Date I21 first reported (acute myocardial infarction);Date I20 first reported (angina pectoris);Date I25 first reported (chronic ischaemic heart disease);Date I24 first reported (other acute ischaemic heart diseases)	0	0	Myocardial infarction	DRUGGABLE GENOME	6	0
KLC4	250	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6744776	98.389050080158	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: diabetes;Type 2 diabetes;Diabetes mellitus	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	0	Not druggable	4	0
FAS	279	NA	NA	NA	NA	NA	0	0	0	0	1	0	1	0	0	0	0	1.46455325074622	2	6831624	99.6559405182336	endocrine/metabolic	Disorders involving the immune mechanism	Autoimmune lymphoproliferative syndrome type 1	0	0	0	0	0	immunodeficiency%2c primary;autoimmune lymphoproliferative syndrome;canale-smith syndrome	0	0	DRUGGABLE GENOME	6	0
KCNJ10	264	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	0	0	1.14411036529961	2	6791367	99.0686937380474	endocrine/metabolic	Lack of normal physiological development	0	0	0	0	0	0	developmental delay%2c failure to thrive%2c ataxia%2c hypotonia and tonic-clonic seizures	sesame syndrome, 612780 (3)	0	DRUGGABLE GENOME	5	0
MICB	338	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	1	0	0.914336366006842	4	6737319	98.2802715015295	neurological	Pain	0	Pain type(s) experienced in last month: Headache;Pain type(s) experienced in last month: Neck or shoulder pain;Pain type(s) experienced in last month: Back pain;Pain type(s) experienced in last month: Stomach or abdominal pain;Pain type(s) experienced in last month: Knee pain;Pain type(s) experienced in last month: Pain all over the body	BrainAnteriorcingulatecortexBA24;BrainHypothalamus;BrainHippocampus	0	BrainAnteriorcingulatecortexBA24;BrainHippocampus;BrainHypothalamus	0	0	0	0	Not druggable	4	0
COL18A1	753	NA	NA	NA	NA	NA	1	0	0	0	0	0	1	0	0	0	0	1.29343354960786	2	6804773	99.2642530279889	congenital anomalies	Congenital anomalies of the eye	Knobloch syndrome 1	0	0	0	0	0	0	knobloch syndrome, type 1, 267750 (3)	0	DRUGGABLE GENOME	5	0
TBX1	362	NA	NA	NA	NA	NA	1	1	0	1	0	1	0	0	1	0	0	1.93460469183804	5	6845449	99.8576119477011	sense organs	Other retinal disorders	0	Other retinal disorders	AdiposeSubcutaneous	0	0	Date H36 first reported (retinal disorders in diseases classified elsewhere)	0	velocardiofacial syndrome, 192430 (3)	0	Not druggable	6	0
PRSS12	300	NA	NA	NA	NA	NA	0	0	1	0	0	1	0	0	1	0	0	1.53500776423892	3	6834731	99.701263710375	mental disorders	Anxiety disorders	0	0	0	Worrier / anxious feelings	0	Date F40 first reported (phobic anxiety disorders);Date F99 first reported (mental disorder, not otherwise specified)	0	0	0	DRUGGABLE GENOME	6	0
GRK3	427	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	1	0	1.49786004153693	4	6833003	99.6760566051222	circulatory system	Cardiac dysrhythmias	0	0	ArteryTibial;EsophagusGastroesophagealJunction;EsophagusMuscularis;HeartAtrialAppendage	0	ArteryTibial;CellsCulturedfibroblasts;ColonSigmoid	Date I48 first reported (atrial fibrillation and flutter)	0	0	Atrial fibrillation	DRUGGABLE GENOME	6	0
POMGNT1	752	NA	NA	NA	NA	NA	1	0	0	0	1	1	1	0	0	0	0	2.36312099120357	4	6851763	99.9497170765009	congenital anomalies	Nervous system congenital anomalies	Muscle eye brain disease;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A3	0	0	0	0	Date Q05 first reported (spina bifida)	muscle-eye-brain disease;lissencephaly%2c type ii	muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 3, 613151 (3);muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 3, 253280 (3)	0	Not druggable	6	0
IPO9	250	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	1	1	1.30748152346243	5	6821234	99.5043769629231	endocrine/metabolic	Diabetes mellitus	0	0	BrainFrontalCortexBA9	0	ArteryTibial	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	Type 2 diabetes	Not druggable	5	0
LMBRD1	411	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6814972	99.4130303812721	circulatory system	Ischemic Heart Disease	0	Coronary atherosclerosis	AdiposeSubcutaneous;ArteryTibial	0	0	Date I25 first reported (chronic ischaemic heart disease)	0	0	0	Not druggable	5	0
NECTIN3	427	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	1	0	1.32640877438357	5	6822034	99.5160469190586	circulatory system	Cardiac dysrhythmias	0	Diagnoses - main ICD10: I48 Atrial fibrillation and flutter;Atrial fibrillation and flutter;Cardiac dysrhythmias	BrainSpinalcordcervicalc1	0	CellsCulturedfibroblasts	Date I48 first reported (atrial fibrillation and flutter);Date I47 first reported (paroxysmal tachycardia)	0	0	0	DRUGGABLE GENOME	5	0
ATP6V0A1	250	NA	NA	NA	NA	NA	0	1	1	0	0	1	0	0	0	0	1	1.74444126689962	4	6840718	99.7885987446045	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: diabetes;Type 2 diabetes;Diabetes mellitus	0	Diabetes mellitus	0	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	0	Not druggable	6	0
ZNF682	573	NA	NA	NA	NA	NA	0	0	1	1	0	1	0	0	0	0	0	1.71989060619467	3	6839538	99.7713855593045	digestive	Other disorders of liver	0	0	AdiposeVisceralOmentum;Thyroid	Other diseases of liver,Other disorders of liver	0	Date K76 first reported (other diseases of liver)	0	0	0	Not druggable	6	0
LEFTY2	740	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753435	98.5153627678802	musculoskeletal	Osteoarthrosis	0	Diagnoses - main ICD10: M19 Other arthrosis	0	0	0	Date M17 first reported (gonarthrosis [arthrosis of knee])	0	0	0	DRUGGABLE GENOME	4	0
KIF18A	250	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6801446	99.2157205979102	endocrine/metabolic	Diabetes mellitus	0	0	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	Type 2 diabetes (adjusted for BMI)	Not druggable	5	0
CYP24A1	939	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	1	0	0	0	1.83448980569024	3	6843781	99.8332800891585	dermatologic	Atopic/contact dermatitis due to other or unspecified	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	0	0	0	Date L25 first reported (unspecified contact dermatitis)	0	0	Atopic dermatitis;Eczema	DRUGGABLE GENOME	6	0
PKDCC	751	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	0	0	1.61956062691077	3	6836721	99.7302927262622	congenital anomalies	Genitourinary congenital anomalies	0	0	BrainAmygdala	0	0	Date Q54 first reported (hypospadias)	0	0	Hypospadias	Not druggable	6	0
SLCO4C1	411	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6755693	98.5483012190728	circulatory system	Ischemic Heart Disease	0	Angina pectoris	0	0	0	Date I21 first reported (acute myocardial infarction);Date I20 first reported (angina pectoris);Date I25 first reported (chronic ischaemic heart disease)	0	0	0	DRUGGABLE GENOME	4	0
CTSV	250	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6758044	98.5825963026661	endocrine/metabolic	Diabetes mellitus	0	Type 2 diabetes with ophthalmic manifestations;Diabetic retinopathy	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus)	0	0	0	DRUGGABLE GENOME	4	0
SLC35G2	340	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6749848	98.4630376020574	neurological	Migraine	0	Pain type(s) experienced in last month: Headache	0	0	0	Date G43 first reported (migraine)	0	0	0	Not druggable	4	0
ZNF527	427	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	1	0	0	1.11277915490509	3	6785897	98.9889004129706	circulatory system	Cardiac dysrhythmias	0	Other specified cardiac dysrhythmias	0	0	0	Date I48 first reported (atrial fibrillation and flutter);Date I47 first reported (paroxysmal tachycardia)	0	0	0	Not druggable	5	0
DOK6	327	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	1	1	0	0	1.35793558143061	3	6822883	99.5284316600075	neurological	Sleep disorders	0	0	NerveTibial	0	0	0	0	0	Total protein levels x insomnia interaction	Not druggable	5	0
ZNF594	585	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6745303	98.3967376637623	genitourinary	Renal failure	0	Non-cancer illness code, self-reported: other renal/kidney problem	0	0	0	Date N18 first reported (chronic renal failure)	0	0	0	Not druggable	4	0
AP3D1	427	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	1	0	0	1	1.97944149246805	5	6847295	99.8845403714839	circulatory system	Cardiac dysrhythmias	0	Paroxysmal tachycardia, unspecified	ArteryTibial;ColonSigmoid;EsophagusGastroesophagealJunction;EsophagusMuscularis	0	0	Date I48 first reported (atrial fibrillation and flutter)	0	0	Atrial fibrillation and flutter	Not druggable	6	0
C6orf15	401	NA	NA	NA	NA	NA	0	1	1	0	0	1	0	0	0	0	0	1.93481978497413	3	6846024	99.8659997286735	circulatory system	Hypertension	0	Non-cancer illness code, self-reported: hypertension;Essential hypertension;Hypertension	0	Hypertension,Essential hypertension	0	Date I11 first reported (hypertensive heart disease)	0	0	0	Not druggable	6	0
NDUFA2	300	NA	NA	generalized anxiety disorder	1	metformin	0	0	1	1	0	0	0	0	0	0	0	1.30781819781793	2	6821486	99.5080529991058	mental disorders	Anxiety disorders	0	0	BrainHippocampus	Worry too long after embarrassment,Guilty feelings	0	0	0	0	0	Not druggable	5	1
HYAL3	296	NA	NA	NA	NA	NA	0	0	1	1	0	0	0	0	0	1	0	1.18611761244409	3	6795612	99.1306174427917	mental disorders	Mood disorders	0	0	BrainCaudatebasalganglia;BrainCortex;BrainHippocampus;BrainHypothalamus;BrainPutamenbasalganglia;BrainNucleusaccumbensbasalganglia	Miserableness,Ever unenthusiastic/disinterested for a whole week,Mood swings,Fed-up feelings,Ever highly irritable/argumentative for 2 days,Tense / 'highly strung',Frequency of tiredness / lethargy in last 2 weeks	BrainCaudatebasalganglia;BrainCortex;BrainHippocampus;BrainHypothalamus;BrainNucleusaccumbensbasalganglia;BrainPutamenbasalganglia	0	0	0	0	DRUGGABLE GENOME	5	0
LAMA2	476	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6751487	98.4869464246901	respiratory	Allergic rhinitis	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	0	0	0	Date J30 first reported (vasomotor and allergic rhinitis)	0	0	0	DRUGGABLE GENOME	4	0
LILRA5	290	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	1	1	0	0	1.02260537657829	2	6770356	98.7621969275923	mental disorders	Delirium dementia and amnestic and other cognitive disorders	0	0	0	0	0	0	0	0	Alzheimer's disease or HDL levels (pleiotropy)	DRUGGABLE GENOME	4	0
MAPT	292	NA	NA	NA	NA	NA	1	0	0	0	0	0	1	0	0	0	0	1.29343354960786	2	6804609	99.2618606869811	mental disorders	Neurological disorders	Mental deterioration	0	0	0	0	0	0	{parkinson disease, susceptibility to}, 168600 (3);supranuclear palsy, progressive, 601104 (3);dementia, frontotemporal, with or without parkinsonism, 600274 (3);pick disease, 172700 (3)	0	DRUGGABLE GENOME	5	0
OTC	315	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	0	0	1.14411036529961	2	6791323	99.06805189046	mental disorders	Develomental delays and disorders	0	0	0	0	0	0	ornithine transcarbamylase deficiency	ornithine transcarbamylase deficiency, 311250 (3)	0	DRUGGABLE GENOME	5	0
WNT3	751	NA	NA	NA	NA	NA	1	0	0	1	1	0	0	0	1	0	0	1.6298879330485	4	6837911	99.7476517860138	congenital anomalies	Genitourinary congenital anomalies	0	0	BrainAmygdala	0	0	0	bladder exstrophy	?tetra-amelia syndrome 1, 273395 (3)	0	DRUGGABLE GENOME	6	0
SYN2	562	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	1	0	1.175961411487	4	6793146	99.0946448030038	digestive	Diverticulosis and diverticulitis	0	Diverticulosis;Diverticulosis and diverticulitis	ArteryTibial;EsophagusGastroesophagealJunction;EsophagusMuscularis;Uterus	0	ArteryTibial;EsophagusMuscularis;ColonSigmoid;ColonTransverse;EsophagusGastroesophagealJunction;Uterus	Date K57 first reported (diverticular disease of intestine)	0	0	0	Not druggable	5	0
SETD1A	315	NA	NA	NA	NA	NA	1	0	0	0	1	0	1	0	0	0	1	1.76067006475233	4	6842018	99.8075624233247	mental disorders	Develomental delays and disorders	Intellectual disability	0	0	0	0	0	neurodevelopmental disorder;scizophrenia%2c mild intellectual disability and psychotic episodes;intellectual disability / developmental delay;developmental disorder%2c capillary hemangiomas and renal duplication;developmental delay%2c short stature%2c eeg abnormalities%2c psychosis and mental retardation;developmental disorder%2c epilepsy and personality disorder;schizophrenia	neurodevelopmental disorder with speech impairment and dysmorphic facies, 619056 (3);epilepsy, early-onset, with or without developmental delay, 618832 (3)	0	Not druggable	6	0
ETNK1	367	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	0	0	1.61956062691077	3	6836827	99.7318389954502	sense organs	Disorders of refraction and accommodation; blindness and low vision	0	0	BrainHypothalamus	0	0	Date H52 first reported (disorders of refraction and accommodation)	0	0	Spherical equivalent	Not druggable	6	0
PEBP1	471	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6756463	98.5595335518533	respiratory	Nasal polyps	0	Non-cancer illness code, self-reported: nasal polyps	0	0	0	Date J33 first reported (nasal polyp)	0	0	0	Not druggable	4	0
COG6	555	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	1.35865334576234	2	6823330	99.5349522479982	digestive	Inflammatory bowel disease and other gastroenteritis and colitis	0	0	0	0	0	0	0	congenital disorder of glycosylation, type iil, 614576 (3)	Crohn's disease [EA]	Not druggable	5	0
CENPH	512	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0.972487992965613	1	6765714	98.6944820071158	respiratory	Other symptoms of respiratory system	0	0	0	Other respiratory disorders	0	0	0	0	0	Not druggable	4	0
DCST1	550	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6812377	99.3751759610574	digestive	Abdominal hernia	0	Abdominal hernia	AdiposeVisceralOmentum	0	0	Date K43 first reported (ventral hernia)	0	0	0	Not druggable	5	0
